Class,Lambda,Lambda_t,H,H_t,Zeta
1,0.288,0.230769231,1.148325883,0.991264261,1.466666667
1,0.144,0.153846154,0.688222573,0.773228349,0.24
1,0.12,0.076923077,0.529360865,0.391243564,0.218181818
,0,0,0,0,0.2
2,0.992,0.923076923,1.887754277,2.199687795,3.4
2,0.968,0.846153846,1.927910677,2.199687795,3.8
3,0.816,0.769230769,2.15895093,2.23739741,3
3,0.792,0.692307692,2.170813222,2.199687795,2.533333333
3,0.712,0.615384615,2.163043375,2.133937566,2.65
3,0.704,0.538461538,2.158903803,2.045841641,1.88
3,0.656,0.461538462,2.114110523,1.88109476,1.2
3,0.512,0.384615385,1.687014978,1.546593564,1.142857143
3,0.392,0.307692308,1.445491861,1.352030102,0.9
3,0.344,0.230769231,1.197755875,0.991264261,0.866666667
3,0.2,0.153846154,0.916118214,0.773228349,0.24
2,0.12,0.076923077,0.529360865,0.391243564,0.218181818
1,0,0,0,0,0.2
2,0.992,0.923076923,1.762489574,1.914341184,0.95
3,0.944,0.846153846,1.912220089,2.038159682,3.133333333
2,0.8,0.769230769,1.741129927,1.826245258,2.133333333
3,0.648,0.692307692,1.834827529,1.854285872,1.933333333
3,0.568,0.615384615,1.536190306,1.57662122,1.766666667
3,0.488,0.538461538,1.485216735,1.52623491,1.833333333
3,0.368,0.461538462,1.304478149,1.419556299,2.466666667
3,0.224,0.384615385,0.978028471,1.334679141,2.785714286
3,0.2,0.307692308,0.893018257,1.198183948,3.65
1,0.152,0.230769231,0.660038539,0.991264261,1.622222222
1,0.032,0.153846154,0.230285571,0.773228349,0.2
1,0.008,0.076923077,0.067221545,0.391243564,0.2
1,0,0,0,0,0.2
2,0.992,0.923076923,1.792329566,2.10390991,1.8
4,0.848,0.846153846,2.17420933,2.199687795,3.266666667
4,0.8,0.769230769,2.163983039,2.199687795,3.666666667
4,0.72,0.692307692,1.922309279,1.950063756,3.333333333
3,0.6,0.615384615,1.612966048,1.826245258,1.566666667
3,0.576,0.538461538,1.593663434,1.775858948,1.1
3,0.456,0.461538462,1.402723693,1.669180337,1.133333333
3,0.312,0.384615385,1.230897165,1.546593564,1.485714286
3,0.288,0.307692308,1.160536596,1.352030102,1.075
1,0.24,0.230769231,1.061254793,1.145110414,0.244444444
1,0.16,0.153846154,0.680133068,0.773228349,0.22
1,0.152,0.076923077,0.614822757,0.391243564,0.218181818
1,0,0,0,0,0.2
3,0.992,0.923076923,1.5273023,1.987773371,2.36
3,0.912,0.846153846,1.833383516,2.133937566,3
3,0.76,0.769230769,2.070773283,2.199687795,3.133333333
3,0.616,0.692307692,2.076126999,2.199687795,3.266666667
1,0.536,0.615384615,1.890571218,2.133937566,4.25
1,0.488,0.538461538,1.816517999,1.987773371,3.2
2,0.344,0.461538462,1.318433085,1.669180337,3.133333333
2,0.32,0.384615385,1.216640463,1.488525295,1.085714286
3,0.312,0.307692308,1.20474309,1.352030102,1.1
3,0.288,0.230769231,1.053330139,0.991264261,1.066666667
3,0.168,0.153846154,0.798113368,0.773228349,0.24
