step,fitness,genome
0,1.1178875452898841e-05,"[0 1 0 1 0 0 0 1 1 1 0 1 1 1 0 0 1 0 0 0 1 1 0 0 0 0 1 1 1 1 0 0 1 1 1 0 0 1 0 0]"
0,8.518135918893414e-05,"[0 1 1 0 0 1 0 0 0 1 0 0 1 0 1 1 0 0 1 1 1 0 1 1 1 0 0 0 1 1 0 1 1 0 0 0 1 1 0 0]"
0,0.0001256137358657672,"[0 1 1 0 1 0 0 0 0 1 0 0 0 1 0 0 0 0 1 0 0 1 1 1 1 1 0 0 0 1 0 1 0 0 1 0 0 0 0 1]"
0,1.998982907719521e-09,"[0 0 1 0 0 0 1 0 1 0 0 0 1 0 1 0 0 0 1 1 0 1 0 1 1 1 0 1 0 1 0 0 1 0 1 1 1 1 1 1]"
0,1.1178875452898841e-05,"[0 1 0 1 0 0 0 1 1 1 0 1 1 1 0 0 1 0 0 0 1 1 0 0 0 0 1 1 1 1 0 0 1 1 1 0 0 1 0 0]"
0,0.001518356966097495,"[1 0 0 0 0 1 0 1 1 1 0 0 0 1 1 0 1 0 0 1 0 1 1 0 1 0 1 1 1 0 1 1 1 1 0 1 0 0 0 0]"
0,8.93041242229864e-06,"[0 1 0 1 0 0 0 0 0 0 0 0 1 0 1 1 0 0 1 0 1 1 1 1 0 1 1 1 0 1 0 0 1 0 1 1 0 1 1 1]"
0,0.00034616002649018893,"[0 1 1 1 0 0 1 1 0 1 1 0 0 0 1 1 1 1 0 0 1 1 1 0 0 0 0 0 1 0 1 1 1 1 1 0 0 0 1 1]"
0,9.268660187552127e-08,"[0 0 1 1 0 0 1 0 1 0 1 1 0 0 0 1 0 0 1 1 1 0 0 0 0 0 0 0 0 0 1 0 0 1 1 1 1 1 0 1]"
0,0.6305715483955716,"[1 1 1 1 0 1 0 0 0 1 1 1 0 1 1 0 1 0 0 1 0 0 0 0 1 1 1 1 0 1 0 1 1 0 0 0 1 0 1 0]"
0,0.1269027492892481,"[1 1 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 1 0 1 1 1 1 0 0 0 1 1 0 1 1]"
0,0.35379536057587757,"[1 1 1 0 0 1 1 0 1 0 1 1 1 1 0 0 0 1 1 0 0 1 0 0 0 0 1 1 0 0 1 1 0 0 0 1 1 0 0 0]"
0,0.015119857692390465,"[1 0 1 0 1 0 0 0 0 1 0 1 0 1 1 1 1 1 0 0 0 1 1 0 1 0 0 0 1 1 0 0 1 0 0 0 0 1 1 0]"
0,0.014423091315346036,"[1 0 1 0 0 1 1 1 1 0 0 0 1 1 0 0 1 1 1 0 1 1 1 1 0 1 1 0 0 1 1 0 0 1 0 0 1 0 0 1]"
0,8.956570023715423e-06,"[0 1 0 1 0 0 0 0 0 0 0 1 0 0 0 1 0 0 1 0 1 1 0 1 1 1 1 1 0 0 0 0 0 0 0 0 0 1 0 1]"
0,0.7105490227316914,"[1 1 1 1 0 1 1 1 0 1 1 0 0 1 1 0 0 1 0 1 1 0 1 0 0 1 0 0 0 0 0 1 0 0 0 1 0 1 0 0]"
0,0.5576079057505784,"[1 1 1 1 0 0 0 1 0 1 1 1 1 0 0 1 1 0 1 1 0 0 1 0 0 1 1 1 1 0 1 1 0 1 0 0 1 1 0 0]"
0,0.0026645719761138388,"[1 0 0 0 1 1 0 1 1 0 0 0 0 0 1 1 1 1 0 1 1 1 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 1 1 1]"
0,0.5973313790751236,"[1 1 1 1 0 0 1 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 0 1 1 0 1 0 0 1 0 1 0 1 0 0 0 0 1 0]"
0,0.45727347366363563,"[1 1 1 0 1 1 0 0 1 0 1 1 1 0 1 1 0 1 1 1 1 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0]"
0,0.6305715483955716,"[1 1 1 1 0 1 0 0 0 1 1 1 0 1 1 0 1 0 0 1 0 0 0 0 1 1 1 1 0 1 0 1 1 0 0 0 1 0 1 0]"
0,0.1269027492892481,"[1 1 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 1 0 1 1 1 1 0 0 0 1 1 0 1 1]"
0,0.0022562250627830836,"[1 0 0 0 1 0 1 1 0 0 1 0 1 1 1 0 0 0 1 1 0 0 0 1 0 1 0 1 1 1 0 0 0 0 1 0 1 1 0 1]"
0,0.3297282768116864,"[1 1 1 0 0 1 0 1 0 0 0 1 1 1 0 1 1 0 1 1 0 1 1 1 1 1 1 0 1 0 1 0 0 1 0 1 0 0 0 1]"
0,8.93041242229864e-06,"[0 1 0 1 0 0 0 0 0 0 0 0 1 0 1 1 0 0 1 0 1 1 1 1 0 1 1 1 0 1 0 0 1 0 1 1 0 1 1 1]"
0,0.45727347366363563,"[1 1 1 0 1 1 0 0 1 0 1 1 1 0 1 1 0 1 1 1 1 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0]"
