step,fitness,genome
0,0.018308366552317833,"[1 0 1 0 1 0 1 1 1 0 0 1 1 0 0 0 0 1 0 1 1 0 0 1 1 0 0 1 0 1 1 0 1 0 0 1 0 1 0 1]"
0,0.00044233771130247363,"[0 1 1 1 0 1 1 0 0 1 0 0 0 0 0 0 1 1 1 1 1 1 0 1 1 0 0 1 1 1 0 1 1 0 0 1 1 0 1 0]"
0,0.29633047686368874,"[1 1 1 0 0 0 1 0 1 0 1 0 1 1 1 0 1 0 1 0 1 0 1 0 1 1 0 0 0 0 1 0 1 1 1 0 0 1 1 1]"
0,0.1662280602876287,"[1 1 0 1 0 1 0 1 1 1 1 1 0 0 1 0 1 1 1 1 0 1 1 0 0 0 0 1 1 1 1 1 0 1 0 1 1 1 1 0]"
0,0.3110970254519249,"[1 1 1 0 0 0 1 1 1 1 0 0 1 0 0 1 1 0 0 0 1 1 1 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 1]"
0,0.0015841683925826376,"[1 0 0 0 0 1 1 0 0 1 0 1 1 0 0 0 0 0 1 1 0 1 0 1 0 1 1 0 0 0 0 0 0 1 1 0 0 1 1 1]"
0,2.317773662646766e-07,"[0 0 1 1 0 1 1 1 1 0 0 0 1 1 1 0 1 1 0 1 1 1 0 0 1 1 1 1 1 0 1 0 1 1 1 0 0 1 1 0]"
0,0.014646482042901558,"[1 0 1 0 0 1 1 1 1 1 0 0 1 1 1 0 1 1 1 0 1 0 0 1 0 0 1 1 0 0 1 1 1 0 0 0 1 0 0 1]"
0,0.1332976590257959,"[1 1 0 1 0 0 0 1 0 1 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 1 0 1 1 1 0 1 1 0]"
0,0.0727411478105991,"[1 1 0 0 0 1 0 0 1 1 1 1 1 0 1 0 0 1 1 0 0 1 0 1 1 1 0 1 0 1 1 0 1 0 1 1 1 0 0 1]"
0,3.6101000801600877e-10,"[0 0 0 1 1 1 0 1 0 0 0 1 1 0 1 1 0 1 0 0 1 0 1 1 1 1 1 1 0 0 1 0 0 1 0 1 1 0 1 1]"
0,0.5840852594824034,"[1 1 1 1 0 0 1 0 1 0 0 1 1 0 0 1 0 0 1 0 0 1 0 0 0 0 1 1 0 1 0 1 1 1 0 0 1 1 0 0]"
0,0.3045170832397173,"[1 1 1 0 0 0 1 1 0 1 0 0 1 1 0 1 0 0 0 0 0 1 1 0 1 1 1 1 0 1 1 0 1 0 1 0 0 0 1 1]"
0,0.6172117638332056,"[1 1 1 1 0 0 1 1 1 1 1 1 0 0 0 0 1 0 1 1 0 0 0 1 0 1 0 0 1 0 0 1 1 1 0 0 0 0 0 0]"
0,0.14928950660551868,"[1 1 0 1 0 0 1 1 1 0 1 0 1 0 0 1 0 1 1 1 1 0 0 0 1 1 0 0 0 1 0 1 1 0 0 1 0 0 0 0]"
0,0.558740673984136,"[1 1 1 1 0 0 0 1 1 0 0 0 0 1 1 0 0 0 1 1 1 1 1 0 0 1 1 0 1 1 0 1 0 1 1 1 1 0 1 1]"
0,3.0353135948881237e-05,"[0 1 0 1 1 0 1 0 0 1 1 1 0 1 0 1 1 1 1 1 0 1 0 1 1 0 0 1 1 0 0 0 0 0 1 1 0 0 1 1]"
0,0.008534329810084557,"[1 0 0 1 1 1 1 0 1 1 1 1 1 1 0 0 0 0 1 1 1 0 1 1 0 0 0 1 1 0 1 0 1 1 1 0 0 1 1 0]"
0,0.09794408256056573,"[1 1 0 0 1 0 1 0 1 1 1 0 1 1 0 1 0 0 0 1 0 0 0 1 0 0 0 1 1 1 0 1 1 0 0 0 0 1 0 1]"
